SUBASSEMBLY_ID,SUPERASSEMBLY_ID
PDB-CPX-105308,PDB-CPX-105307
PDB-CPX-105310,PDB-CPX-105309
PDB-CPX-105352,PDB-CPX-105351
PDB-CPX-105353,PDB-CPX-105354
PDB-CPX-105366,PDB-CPX-105367
PDB-CPX-105369,PDB-CPX-105370
PDB-CPX-105371,PDB-CPX-105369
PDB-CPX-105371,PDB-CPX-105370
PDB-CPX-105388,PDB-CPX-105389
PDB-CPX-105443,PDB-CPX-105444
PDB-CPX-105522,PDB-CPX-105523
PDB-CPX-105522,PDB-CPX-105524
PDB-CPX-105522,PDB-CPX-105525
PDB-CPX-105522,PDB-CPX-105526
PDB-CPX-105529,PDB-CPX-105530
PDB-CPX-105533,PDB-CPX-105532
PDB-CPX-105558,PDB-CPX-105559
PDB-CPX-105580,PDB-CPX-105579
PDB-CPX-105646,PDB-CPX-105647
PDB-CPX-105657,PDB-CPX-105658
PDB-CPX-105659,PDB-CPX-105660
PDB-CPX-105668,PDB-CPX-105669
PDB-CPX-105668,PDB-CPX-105670
PDB-CPX-105668,PDB-CPX-105671
PDB-CPX-105671,PDB-CPX-105669
PDB-CPX-105671,PDB-CPX-105670
PDB-CPX-105721,PDB-CPX-105718
PDB-CPX-105743,PDB-CPX-105744
PDB-CPX-105824,PDB-CPX-105825
PDB-CPX-105835,PDB-CPX-105833
PDB-CPX-105836,PDB-CPX-105833
PDB-CPX-105836,PDB-CPX-105835
PDB-CPX-105837,PDB-CPX-105833
PDB-CPX-105837,PDB-CPX-105834
PDB-CPX-105837,PDB-CPX-105835
PDB-CPX-105837,PDB-CPX-105836
PDB-CPX-105872,PDB-CPX-105873
PDB-CPX-105874,PDB-CPX-105875
PDB-CPX-105940,PDB-CPX-105941
PDB-CPX-105948,PDB-CPX-105949
PDB-CPX-105951,PDB-CPX-105949
PDB-CPX-105970,PDB-CPX-105969
PDB-CPX-105970,PDB-CPX-105971
PDB-CPX-106000,PDB-CPX-106001
PDB-CPX-106034,PDB-CPX-106033
PDB-CPX-106034,PDB-CPX-106035
PDB-CPX-106100,PDB-CPX-103055
PDB-CPX-106139,PDB-CPX-106140
PDB-CPX-106152,PDB-CPX-106153
PDB-CPX-106177,PDB-CPX-105751
PDB-CPX-106204,PDB-CPX-106203
PDB-CPX-106204,PDB-CPX-106205
PDB-CPX-106207,PDB-CPX-106205
PDB-CPX-106211,PDB-CPX-106210
PDB-CPX-106235,PDB-CPX-106236
PDB-CPX-106237,PDB-CPX-106238
PDB-CPX-106237,PDB-CPX-106239
PDB-CPX-106245,PDB-CPX-106244
PDB-CPX-106247,PDB-CPX-106140
PDB-CPX-106332,PDB-CPX-106331
PDB-CPX-106346,PDB-CPX-106345
PDB-CPX-106352,PDB-CPX-106345
PDB-CPX-106352,PDB-CPX-106346
PDB-CPX-106353,PDB-CPX-106345
PDB-CPX-106353,PDB-CPX-106346
PDB-CPX-106353,PDB-CPX-106348
PDB-CPX-106356,PDB-CPX-106357
PDB-CPX-106360,PDB-CPX-106359
PDB-CPX-106388,PDB-CPX-103241
PDB-CPX-106508,PDB-CPX-106509
PDB-CPX-106508,PDB-CPX-106510
PDB-CPX-106548,PDB-CPX-106549
PDB-CPX-106558,PDB-CPX-104938
PDB-CPX-106558,PDB-CPX-104939
PDB-CPX-106664,PDB-CPX-106662
PDB-CPX-106676,PDB-CPX-106677
PDB-CPX-106676,PDB-CPX-106678
PDB-CPX-106686,PDB-CPX-106687
PDB-CPX-106697,PDB-CPX-106698
PDB-CPX-106706,PDB-CPX-106707
PDB-CPX-106706,PDB-CPX-106708
PDB-CPX-106724,PDB-CPX-106722
PDB-CPX-106724,PDB-CPX-106723
PDB-CPX-106724,PDB-CPX-106725
PDB-CPX-106724,PDB-CPX-106726
PDB-CPX-106724,PDB-CPX-106727
PDB-CPX-106724,PDB-CPX-106728
PDB-CPX-106727,PDB-CPX-106722
PDB-CPX-106727,PDB-CPX-106723
PDB-CPX-106729,PDB-CPX-106725
PDB-CPX-106778,PDB-CPX-106777
PDB-CPX-106791,PDB-CPX-106792
PDB-CPX-106805,PDB-CPX-100101
PDB-CPX-106814,PDB-CPX-106808
PDB-CPX-106814,PDB-CPX-106809
PDB-CPX-106814,PDB-CPX-106810
PDB-CPX-106814,PDB-CPX-106811
PDB-CPX-106814,PDB-CPX-106812
PDB-CPX-106814,PDB-CPX-106813
PDB-CPX-106814,PDB-CPX-106815
PDB-CPX-106814,PDB-CPX-106816
PDB-CPX-106814,PDB-CPX-106817
PDB-CPX-106814,PDB-CPX-106818
PDB-CPX-106814,PDB-CPX-106819
PDB-CPX-106845,PDB-CPX-105661
PDB-CPX-106845,PDB-CPX-105662
PDB-CPX-106857,PDB-CPX-106856
PDB-CPX-106858,PDB-CPX-106856
PDB-CPX-106858,PDB-CPX-106857
PDB-CPX-106863,PDB-CPX-106864
PDB-CPX-106937,PDB-CPX-106938
PDB-CPX-107060,PDB-CPX-107061
PDB-CPX-107092,PDB-CPX-107093
