"ID","METHOD_CLASS"
"3mjq","x-ray"
"5wzs","x-ray"
"5fib","x-ray"
"111d","x-ray"
"6j00","x-ray"
"1jlw","x-ray"
"5jhu","x-ray"
"1ge1","x-ray"
"3q81","x-ray"
"1mxf","x-ray"
"1g6q","x-ray"
"6mz0","x-ray"
"1v2x","x-ray"
"3g4h","x-ray"
"2e0g","nmr"
"7mbo","x-ray"
"2zrm","x-ray"
"3qsu","x-ray"
"3nzg","x-ray"
"2hpl","x-ray"
"1fvg","x-ray"
"5if8","x-ray"
"5qa0","x-ray"
"1l5r","x-ray"
"1yiw","x-ray"
"1mmz","x-ray"
"5jop","x-ray"
"6tcz","em"
"7ahv","x-ray"
"2x7o","x-ray"
"4lxm","x-ray"
"1gan","x-ray"
"1g31","x-ray"
"6ra7","x-ray"
"4ahr","x-ray"
"5vq9","x-ray"
"1xhk","x-ray"
"2xxd","x-ray"
"1ttq","x-ray"
"6oae","x-ray"
"1wu5","x-ray"
"3bp8","x-ray"
"2nxu","nmr"
"3mxq","x-ray"
"6kye","x-ray"
"6kke","x-ray"
"3oi9","x-ray"
"2gja","x-ray"
"5ppe","x-ray"
"2z9k","x-ray"
"7ax1","x-ray"
"5n8v","x-ray"
"1ksu","x-ray"
"1i5u","nmr"
"2kj6","nmr"
"1g0d","x-ray"
"3qfl","x-ray"
"1pxv","x-ray"
"7k6c","x-ray"
"4o70","x-ray"
"4fa6","x-ray"
"1f6h","x-ray"
"4e4a","x-ray"
"4cw9","x-ray"
"2jmb","nmr"
"5j93","x-ray"
"2oos","x-ray"
"2hih","x-ray"
"2x1o","x-ray"
"1t32","x-ray"
"3s1q","x-ray"
"5u12","x-ray"
"4pha","x-ray"
"7nqf","x-ray"
"6uzg","x-ray"
"7cop","x-ray"
"6di7","x-ray"
"3oe1","x-ray"
"6lp3","x-ray"
"6mk1","em"
"1ymm","x-ray"
"5des","x-ray"
"2wls","x-ray"
"3rd6","x-ray"
"1soo","x-ray"
"3wt5","x-ray"
"7riv","x-ray"
"3wng","x-ray"
"2k6q","nmr"
"5da5","x-ray"
"1kyj","nmr"
"2po7","x-ray"
"1ckd","x-ray"
"4wru","x-ray"
"4muh","x-ray"
"1rbs","x-ray"
"1rml","nmr"
"6xpx","x-ray"
"4frm","x-ray"
"6mr4","x-ray"
"2knp","nmr"
"3olp","x-ray"
"6w9c","x-ray"
"1nm5","x-ray"
"6bg9","hybrid"
"4ud2","x-ray"
"1nye","x-ray"
"3iv1","x-ray"
"6c12","x-ray"
"6fko","x-ray"
"7pde","em"
"5r90","x-ray"
"6g96","x-ray"
"1gtg","x-ray"
"1p7b","x-ray"
"5mih","x-ray"
"3kbq","x-ray"
"4poo","x-ray"
"7sjr","em"
"2jfs","x-ray"
"5dxw","x-ray"
"3a6p","x-ray"
"7t6y","x-ray"
"6wd4","em"
"1yaz","x-ray"
"4kaj","x-ray"
"6c3b","x-ray"
"6w1n","em"
"3gtd","x-ray"
"7meg","x-ray"
"4rls","x-ray"
"4aiu","x-ray"
"4iof","x-ray"
"2k5i","nmr"
"7jz2","em"
"6v49","x-ray"
"3vl8","x-ray"
"6w35","x-ray"
"6pm7","x-ray"
"6z7a","x-ray"
"6pt1","x-ray"
"1x3c","nmr"
"5ida","x-ray"
"4nww","x-ray"
"5ci1","x-ray"
"1nfs","x-ray"
"2onh","x-ray"
"1h1a","x-ray"
"6tpq","em"
"3g5i","x-ray"
"4dzj","x-ray"
"2gu9","x-ray"
"1tug","x-ray"
"6df1","x-ray"
"1ge2","x-ray"
"4xoo","x-ray"
"1znz","x-ray"
"2ve3","x-ray"
"1go1","nmr"
"2gtj","nmr"
"5jqq","x-ray"
"5yve","x-ray"
"4tso","x-ray"
"2d7m","nmr"
"6r59","x-ray"
"6wmd","x-ray"
"1a3n","x-ray"
"4i7q","x-ray"
"3h7r","x-ray"
"3eje","x-ray"
"2yi8","x-ray"
"3ee4","x-ray"
"5nn0","x-ray"
"4c72","x-ray"
"4bh3","x-ray"
"5ac1","x-ray"
"6gx0","x-ray"
"2hyp","x-ray"
"2d1q","x-ray"
"1c9e","x-ray"
"6kfh","em"
"4axa","x-ray"
"5ias","x-ray"
"3uvi","x-ray"
"3itq","x-ray"
"6z1q","x-ray"
"5svv","x-ray"
"7d5w","x-ray"
"2v0n","x-ray"
"3c8j","x-ray"
"2rrt","nmr"
"1xyo","x-ray"
"7mms","x-ray"
"6kw9","x-ray"
"1rva","x-ray"
"7vwl","em"
"1i80","x-ray"
"3fib","x-ray"
"5k9r","x-ray"
"6cjy","x-ray"
"2grv","x-ray"
"1ywi","nmr"
"3bkk","x-ray"
"5tsf","x-ray"
"6gse","hybrid"
"2cge","x-ray"
"1dgc","x-ray"
"1dik","x-ray"
"2j8z","x-ray"
"2d49","nmr"
"6qwa","x-ray"
"3kc2","x-ray"
"2z1b","x-ray"
"6r2d","x-ray"
"3m7l","x-ray"
"7wpd","em"
"1x47","nmr"
"2fh0","nmr"
"3dfc","x-ray"
"5gmd","x-ray"
"5iyw","x-ray"
"6cb0","x-ray"
"5njk","x-ray"
"6m8n","x-ray"
"5x1b","x-ray"
"1ufm","nmr"
"5ff1","x-ray"
"2up1","x-ray"
"3fw9","x-ray"
"5oe8","x-ray"
"4a54","nmr"
"1xet","x-ray"
"4p37","x-ray"
"3ik7","x-ray"
"3ii7","x-ray"
"2m12","nmr"
"2p3n","x-ray"
"2d6o","x-ray"
"4lxs","x-ray"
"6lh9","x-ray"
"6xdt","x-ray"
"5xgs","x-ray"
"4r7e","x-ray"
"6vp2","x-ray"
"6ugi","x-ray"
"7pp7","x-ray"
"4e1h","x-ray"
"2f4j","x-ray"
"4cyd","x-ray"
"2cc3","x-ray"
"7cqv","x-ray"
"5kzj","x-ray"
"1hzg","x-ray"
"6cmc","x-ray"
"7nq8","x-ray"
"2fim","x-ray"
"6rwf","x-ray"
"1pxl","x-ray"
"3czl","x-ray"
"2ls9","nmr"
"4bzf","x-ray"
"4hs7","x-ray"
"6z6j","em"
"5f3o","x-ray"
"1o9g","x-ray"
"5wrc","x-ray"
"5xzu","x-ray"
"2la0","nmr"
"1b2e","x-ray"
"5h14","x-ray"
"7bzt","em"
"5qot","x-ray"
"6g2r","x-ray"
"2pzn","x-ray"
"3h09","x-ray"
"3alo","x-ray"
"6wjg","em"
"7mwq","x-ray"
"3r7i","x-ray"
"6p9o","em"
"6aad","x-ray"
"2mzn","nmr"
"1tnu","x-ray"
"5by5","x-ray"
"3acg","x-ray"
"4z60","x-ray"
"7o6s","x-ray"
"1e7v","x-ray"
"5pv2","x-ray"
"4qzt","x-ray"
"3kbk","x-ray"
"4day","x-ray"
"3ouf","x-ray"
"4grl","x-ray"
"1svk","x-ray"
"1ydy","x-ray"
"2pn0","x-ray"
"5b4f","x-ray"
"2v0p","x-ray"
"2kd9","nmr"
"1qzq","x-ray"
"4yyi","x-ray"
"5f2s","x-ray"
"5caj","x-ray"
"2zin","x-ray"
"5hgt","x-ray"
"5hok","x-ray"
"1wvw","x-ray"
"2p8z","em"
"4g0m","x-ray"
"3o06","x-ray"
"6m62","em"
"6c6a","x-ray"
"1vt8","x-ray"
"7mwh","x-ray"
"4qpd","x-ray"
"2nti","x-ray"
"1uvn","x-ray"
"5b5o","x-ray"
"3nkc","x-ray"
"7sxk","em"
"1gny","x-ray"
"3kpb","x-ray"
"1uyk","x-ray"
"2e7y","x-ray"
"5oif","x-ray"
"5lq8","x-ray"
"3st4","x-ray"
"4yfe","x-ray"
"2mms","nmr"
"3ook","x-ray"
"3hjz","x-ray"
"4h4c","x-ray"
"2vo5","x-ray"
"6hgm","x-ray"
"1ch1","x-ray"
"7fh3","x-ray"
"7a3f","x-ray"
"3e5n","x-ray"
"5d82","x-ray"
"5cqc","x-ray"
"7e9g","em"
"1w8x","x-ray"
"5maz","x-ray"
"1ocl","x-ray"
"3kc0","x-ray"
"1nrn","x-ray"
"5hvw","x-ray"
